District	no	unknown	yes	
Abim	13	31	68	0
Adjumani	11	27	84	0
Agago	23	41	102	0
Alebtong	18	28	57	0
Amolatar	12	24	66	0
Amudat	5	10	32	0
Amuria	10	21	115	0
Amuru	31	80	118	0
Apac	38	54	187	0
Arua	105	328	610	0
Budaka	10	8	89	0
Bududa	8	13	49	0
Bugiri	14	22	78	0
Buhweju	0	2	21	0
Buikwe	16	57	101	0
Bukedea	11	20	128	0
Bukomansimbi	7	21	32	0
Bukwo	6	2	16	0
Bulambuli	14	20	77	0
Buliisa	4	19	28	0
Bundibugyo	12	22	48	0
Bushenyi	21	17	116	0
Busia	39	68	205	0
Butaleja	11	26	61	0
Butambala	12	27	34	0
Buvuma	3	4	7	0
Buyende	2	10	25	0
Dokolo	8	45	97	0
Gomba	8	42	50	0
Gulu	89	252	622	0
Hoima	18	49	100	0
Ibanda	14	40	91	0
Iganga	30	26	144	0
Isingiro	4	24	62	0
Jinja	33	65	236	0
Kaabong	8	31	27	0
Kabale	36	49	172	0
Kabarole	33	126	175	0
Kaberamaido	21	41	89	0
Kalangala	6	8	19	0
Kaliro	9	14	43	0
Kalungu	10	64	72	0
Kampala	117	261	1696	0
Kamuli	11	37	87	0
Kamwenge	10	34	97	0
Kanungu	11	32	63	0
Kapchorwa	26	21	105	0
Kasese	67	97	304	0
Katakwi	6	12	70	0
Kayunga	11	12	81	0
Kibaale	7	14	54	0
Kiboga	9	8	21	0
Kibuku	4	13	40	0
Kiruhura	18	12	68	0
Kiryandongo	17	30	107	0
Kisoro	25	10	75	0
Kitgum	15	47	159	0
Koboko	11	17	96	0
Kole	26	34	118	0
Kotido	9	24	46	0
Kumi	14	29	168	0
Kween	13	17	81	0
Kyankwanzi	7	7	19	0
Kyegegwa	15	37	48	0
Kyenjojo	10	34	95	0
Lamwo	12	50	74	0
Lira	89	107	433	0
Luuka	6	10	32	0
Luwero	15	22	118	0
Lwengo	62	159	71	0
Lyantonde	3	5	24	0
Manafwa	55	46	174	0
Maracha	8	13	42	0
Masaka	11	32	132	0
Masindi	14	35	119	0
Mayuge	8	12	62	0
Mbale	58	126	536	0
Mbarara	27	42	297	0
Mitooma	8	5	48	0
Mityana	25	63	94	0
Moroto	10	25	91	0
Moyo	16	46	143	0
Mpigi	21	31	120	0
Mubende	10	18	68	0
Mukono	39	183	312	0
Nakapiripirit	6	1	36	0
Nakaseke	6	11	31	0
Nakasongola	7	7	40	0
Namayingo	7	13	60	0
Namutumba	5	7	32	0
Napak	9	25	81	0
Nebbi	30	71	238	0
Ngora	11	5	83	0
Ntoroko	5	19	34	0
Ntungamo	21	17	132	0
Nwoya	30	58	87	0
Otuke	9	12	46	0
Oyam	68	127	398	0
Pader	17	57	130	0
Pallisa	27	57	165	0
Rakai	12	13	115	0
Rubirizi	4	5	32	0
Rukungiri	5	35	97	0
Serere	10	22	114	0
Sheema	16	28	132	0
Sironko	19	41	105	0
Soroti	21	39	156	0
Ssembabule	7	5	33	0
Tororo	36	82	399	0
Wakiso	137	331	1106	0
Yumbe	19	56	82	0
Zombo	22	23	105	0
Amuru	0	0	0	1
Busia	0	0	0	1
Gulu	0	0	0	1
Iganga	0	0	0	1
Kabarole	0	0	0	1
Kaberamaido	0	0	0	1
Kamwenge	0	0	0	1
Kasese	0	0	0	1
Koboko	0	0	0	1
Kumi	0	0	0	1
Masaka	0	0	0	1
Masindi	0	0	0	2
Mbarara	0	0	0	2
Moyo	0	0	0	1
Nwoya	0	0	0	1
Pallisa	0	0	0	1
Serere	0	0	0	1
Sheema	0	0	0	1
Yumbe	0	0	0	1
